,text,neutral,positive,negative,narrator,y,text_french
128,μας δώσει ο Δίας η καλοτείχιστη να γίνει Τροία δική μας.»,0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]",Jupiter nous l'a donnée pour qu'elle soit notre Troie.
129,Μα ο πρωταφέντης Αγαμέμνονας γυρνώντας του άποκρίθη:,0.375,0.25,0.125,0.25,"[0.375, 0.25, 0.125, 0.25]",Mais le premier maître Agamemnon lui répondit:
130,"«Παλικαριά, Αχιλλέα θεόμορφε, τρανή κι αν έχεις, όχι,",0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]","C'est pas vrai, Achille, beau gosse, c'est pas vrai."
131,δε με γελάς κι ουδέ πλανεύουμαι κι ουδέ μου αλλάζεις γνώμη.,0.125,0.0,0.875,0.0,"[0.125, 0.0, 0.875, 0.0]","Tu ne te moques pas de moi, et je ne me trompe pas, et tu ne changes pas d'avis."
132,Να 'χεις εσύ το αρχοντομοίρι σου κι εγώ να μένω θέλεις,0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]","Tu veux que je reste, tu veux que je reste?"
133,"με ολάδεια χέρια, κι ορμηνεύεις με να δώσω ετούτη πίσω;",0.125,0.0,0.875,0.0,"[0.125, 0.0, 0.875, 0.0]","Avec les mains vides, et tu veux que je te rende ça?"
134,"Τώρα αν οι Αργίτες οι τρανόψυχοι καινούργιο αρχοντομοίρι,",0.25,0.125,0.5,0.125,"[0.25, 0.125, 0.5, 0.125]","Maintenant, si les Argytes sont les grands nouveaux maîtres,"
135,"της αρεσκιάς μου, μου ξεδιάλεγαν, να σοζυγιάζει το άλλο...",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]",On m'a choisi pour que ça pèse sur l'autre.
136,"Μ᾿ αν δε μου δώσουνε μονάχοι τους μοιράδι, θα 'ρθω ατός μου",0.125,0.0,0.875,0.0,"[0.125, 0.0, 0.875, 0.0]","S'ils ne me donnent pas leur destin, je viendrai à moi."
137,για το δικό σου για και του Αίαντα για του Οδυσσέα να πάρω',0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]",Pour toi et Ajada pour Ulysse.
138,"κι όποιος με ιδεί μπροστά του, σίγουρα βαρύ πολύ θα του 'ρθει!",0.125,0.0,0.875,0.0,"[0.125, 0.0, 0.875, 0.0]",Et celui qui me verra devant lui va être très lourd.
139,"Όμως για τούτα δε βιαζόμαστε, τα ξαναλέμε᾿ τώρα",0.5,0.125,0.375,0.0,"[0.5, 0.125, 0.375, 0.0]","Mais ce n'est pas pour ça qu'on est pressés, on se reverra maintenant."
140,"μαύρο στην άγια, ελάτε, θάλασσα να ρίξουμε καράβι,",0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]","Noir sur la sainte, venez, mer, jetez un bateau,"
141,"και κουπολάτες να μαζώξουμε ξεδιαλεχτούς, κι ακόμα",0.375,0.25,0.375,0.0,"[0.375, 0.25, 0.375, 0.0]","Et des rollers à ramasser, et même des rollers à ramasser."
142,μέσα τρανή θυσία να βάλουμε᾿ κι ας ανεβεί κι ατή της,0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]","Un grand sacrifice à mettre en place, même si c'est le cas."
143,"η Χρυσοπούλα η ροδομάγουλη, κι απ᾿ τους ρηγάδες ένας",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]","La poule aux roses, et les rois un."
144,"για ο Ιδομενέας για κι ο Αίας κύβερνος για κι ο Οδυσσέας ας γένει,",0.375,0.0,0.625,0.0,"[0.375, 0.0, 0.625, 0.0]","pour Idémène, pour Isaac, pour Isaac, pour Isaac, pour Ulysse en général,"
145,"για, αν θες, κι εσύ, Αχιλλέα, ν᾿ ανέβαινες, που τρέμει ο κόσμος όλος'",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]","pour, si tu veux, toi aussi, Achille, pour que tu montes, où le monde entier tremble."
146,μπορεί με τις θυσίες να μέρωνες το Μακροσαγιτάρη.»,0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]","Peut-être qu'avec les sacrifices, tu aurais pris soin de McCrossy."
147,Κι είπε ο Αχιλλέας ο γοργοπόδαρος ταυροκοιτάζοντάς τον:,0.375,0.25,0.375,0.0,"[0.375, 0.25, 0.375, 0.0]","Et Achille, le taureau rapide, dit en le regardant:"
148,"«Ωχού μου, από κορφής ξαδιάντροπε και συφεροντονούση!",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]","Oh, mon Dieu, par-dessus tout, espèce d'insolent et d'intimité!"
149,Αργίτης πως κανείς στο λόγο σου με προθυμία ν᾿ ακούσει,0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]",Que personne dans votre parole ne soit prêt à écouter
150,"και να κινήσει, για στον πόλεμο να βγει παλικαρίσια;",0.25,0.375,0.25,0.125,"[0.25, 0.375, 0.25, 0.125]",Et qu'il parte pour la guerre pour sortir d'ici?
151,"Δεν τα 'χω εγώ με τους αντρόψυχους τους Τρώες αλήθεια, που 'ρθα",0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]",Ce n'est pas moi qui sors avec les Troyens.
152,να πολεμήσω εδώ᾿ σε τίποτα δε μου 'φταιξαν εμένα',0.125,0.75,0.125,0.0,"[0.125, 0.75, 0.125, 0.0]",Me battre ici n'a rien à voir avec moi.
153,"δε μου άρπαξαν ποτέ τα βόδια μου κι ουδέ τ᾿ αλόγατά μου,",0.125,0.75,0.125,0.0,"[0.125, 0.75, 0.125, 0.0]","Je n'ai jamais été pris par mes boeufs, ni par mes chevaux."
154,"κι ουδέ στη Φθία την παχιοχώματη, την ανθρωποθροφούσα,",0.125,0.5,0.25,0.125,"[0.125, 0.5, 0.25, 0.125]","Et je ne la nourrissais ni à l'automne ni à l'automne, ni à l'automne."
155,"ποτέ τους τα σπαρτά μου ερήμαξαν, τι πλήθια ανάμεσα μας",0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]",Jamais mes récoltes n'ont explosé. Quelle foule parmi nous.
156,βουνά βρίσκονται μακρογίσκιωτα και θάλασσα όλο λάλο.,0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]",Il y a des montagnes à long terme et des mers entières.
157,"Μον 'σένα, αδιάντροπε, άκλουθήξαμε, να χαίρεται η καρδιά σου,",0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]","Avec toi, espèce d'insolent, nous avons été excités de voir ton coeur se réjouir."
158,"που του Μενέλαου διαφεντεύουμε και τη δικιά σου, σκύλε,",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]","Ménélas et moi, on dirige la tienne, chien."
159,"τιμή. Μα εσύ γι'αυτά δε γνοιάζεσαι, δεν τα ψηφάς, κι ατός σου",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]","l'honneur. Mais tu ne te soucies pas de ça, tu ne votes pas pour ça, et tu n'as pas d'amis."
160,"πίσω να πάρεις το μοιράδι μου με φοβερίζεις τώρα,",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]",Tu m'as fait peur.
161,που οι Αργίτες μου 'δωκαν και μόχτησα βαριά να το κερδέψω.,0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]",que les Argytes m'ont donné et que j'ai eu du mal à gagner.
162,"Ποτέ δεν είν᾿ τοό αρχοντομοίρι μου σαν το δικό σου, σύντας",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]",Ce n'est jamais le mien comme le tien.
163,κάποιο πολύψυχο πατήσουμε των Τρωών οι Αργίτες κάστρο',0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]",Les Argentes du château.
164,μα η πιο βαριά του πολυτάραχου πολέμου μπόρα πέφτει,0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]",Mais la plus lourde de la guerre est en train de tomber.
165,"στα χέρια ετούτα, κι όταν υστέρα στη μοιρασιά βρεθούμε,",0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]","entre ces mains, et quand nous nous retrouverons à la fin du partage,"
166,"πάντα δικό σου το τρανότερο, κι εγώ στα πλοία διαγέρνω",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]","Toujours à toi le plus grand, et moi à bord, j'excite."
167,"μικρό κρατώντας, μα καλόδεχτο, σα ρέψω πια απ᾿ τη μάχη.",0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]","Petit, mais bienvenu, je t'enverrai de la bagarre."
168,Τώρα στη Φθία θα πάω᾿ καλύτερα χίλιες φορές αλήθεια,0.0,0.75,0.25,0.0,"[0.0, 0.75, 0.25, 0.0]","Maintenant, à l'automne, j'irai mieux mille fois vrai."
169,"να γύρω σπίτι μου με τ᾿ άρμενα, κι ουδέ στο νου μου το 'χω",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]",Et je n'y pense même pas.
170,"αψήφιστος να μένω εδώ, αγαθά και βιος να σου σωριάζω.»",0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]","Je n'ai pas besoin de vivre ici, de vivre et de t'écraser."
171,Κι ο πρωταφέντης Αγαμέμνονας του απηλογήθη τότε:,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]",Et son premier maître Agamemnon s'excusa alors:
172,"«Και δε μισεύεις πίσω, αν σ᾿ έπιασε του μισεμού λαχτάρα!",0.0,0.125,0.875,0.0,"[0.0, 0.125, 0.875, 0.0]",Et tu ne détestes pas le retour s'il t'a attrapé.
173,"Δε σου προσπέφτω εγώ, για χάρη μου να μείνεις᾿ έχω κι άλλους",0.0,0.125,0.75,0.125,"[0.0, 0.125, 0.75, 0.125]","Je n'essaie pas, pour que tu restes, j'en ai d'autres."
174,"να με τιμήσουν, το βαθύγνωμο το Δία πιο πάνω απ᾿ όλους.",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]","Pour m'honorer, Jupiter est plus grand que tout le monde."
175,"Εσένα πιο βαριά σε οχτρεύομαι μες στους τρανούς ρηγάδες,",0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]","Toi, plus lourd que moi, je t'embrasse dans les grands rois."
176,"τι πάντα πόλεμοι σου αρέσουνε, συνερισιές κι αμάχες'",0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]","Ce que tu aimes toujours, les guerres, les guerres et les guerres."
177,"και λέω, κι αν είσαι τόσο αντρόκαρδος, από θεού 'ναι δώρο.",0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]","Et je me dis: ""Si tu es si viril, c'est un cadeau de Dieu."""
178,"Τράβα στον τόπο σου με τ᾿ άρμενα και τους συντρόφους σου όλους,",0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]",Va chez toi avec tes chars et tes camarades.
179,"κι εκεί στους Μυρμιδόνες όριζε᾿ δε σε ψηφώ καθόλου,",0.25,0.125,0.5,0.125,"[0.25, 0.125, 0.5, 0.125]","Et c'est là qu'il ordonnait aux Myrmidons de ne pas voter pour toi,"
180,"κι ούτε με νοιάζει που μου θύμωσες, μόν᾿ τή φοβέρα μου άκου:",0.25,0.0,0.75,0.0,"[0.25, 0.0, 0.75, 0.0]","Et je m'en fous que tu m'en veuilles, mais écoute ma peur:"
181,Όπως μου παίρνει πίσω ο Απόλλωνας τη Χρυσοπούλα τώρα,0.125,0.0,0.875,0.0,"[0.125, 0.0, 0.875, 0.0]",Comme Apollon me récupère l'or maintenant.
182,"και θα τη στείλω εγώ με ανθρώπους μου και με άρμενο δικό μου,",0.125,0.0,0.75,0.125,"[0.125, 0.0, 0.75, 0.125]","Et je l'enverrai avec mes hommes et avec mon pain,"
183,"όμοια κι εγώ τη ροδομάγουλη τη Βρισοπούλα ατός μου,",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]","Comme moi, ma belle-fille,"
184,"το μερτικό σου, στην καλύβα σου θα 'ρθω να πάρω, πόσο",0.0,0.125,0.875,0.0,"[0.0, 0.125, 0.875, 0.0]","Ta part, dans ta cabane, je viendrai prendre combien de temps?"
185,"να μάθεις στέκω εγώ πιο πάνω σου, και να φοβάται κι άλλος",0.0,0.125,0.875,0.0,"[0.0, 0.125, 0.875, 0.0]","Apprends à te tenir debout, et que quelqu'un d'autre ait peur."
186,"να μου μιλάει σαν ίσιος κι όμοιος μου, σύντας βρεθεί μπροστά μου.»",0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]",Il me parle comme si j'étais juste et qu'il me parlait comme si c'était le cas.
187,"Έτσι είπε, κι ο Αχιλλέας συχύστηκε᾿ στα δασωμένα στήθια",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]","C'est ce qu'il a dit, et Achille s'est écroulé sur les seins boisés."
188,"διχόγνωμη η καρδιά του εδούλευε, κι αναρωτιόταν, τάχα",0.0,0.375,0.5,0.125,"[0.0, 0.375, 0.5, 0.125]","Son cœur était divisé, et il se demandait:"
189,"το κοφτερό σπαθί που εκρέμουνταν πλάι στο μερί να σύρει,",0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]","l'épée pointue qui pendait sur le côté pour tirer,"
190,"κι ως διασκορπίσει όλη τη σύναξη, το γιο του Ατρέα να σφάξει,",0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]","Et comme il a dispersé toute l'assemblée, le fils d'Atrea abattra,"
191,για να μερώσει το άγριο πάθος του και το θυμό να πνίξει;,0.0,0.375,0.5,0.125,"[0.0, 0.375, 0.5, 0.125]",Pour que sa passion sauvage et sa colère s'étouffent?
192,Κι ως τούτα ανάδευε στα φρένα του βαθιά και στην καρδιά του,0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]",Jusqu'à ce qu'il s'étire dans ses freins profonds et dans son cœur.
193,"και το τρανό σπαθί του ανάσερνε, να τη η Αθηνά απ᾿ τα ουράνια'",0.0,0.5,0.5,0.0,"[0.0, 0.5, 0.5, 0.0]","Et sa grande épée respirait, et voici Athéna, depuis les cieux."
194,"η Ήρα μαθές η κρουσταλλόχερη την είχε ξαποστείλει,",0.25,0.5,0.125,0.125,"[0.25, 0.5, 0.125, 0.125]",Hera a appris que la main de perroquet l'avait éjectée.
195,που και τους δυο παρόμοια νοιάζουνταν κι ίδια τους είχε αγάπη.,0.125,0.75,0.125,0.0,"[0.125, 0.75, 0.125, 0.0]","Ils s'intéressaient tous les deux à la même chose, et ils avaient de l'amour pour eux."
196,Πίσω του εστάθη και τον άρπαξεν απ᾿ τα ξανθά μαλλιά του',0.0,0.5,0.5,0.0,"[0.0, 0.5, 0.5, 0.0]","Derrière lui, il le saisit de ses cheveux blonds."
197,"άλλος κανείς δεν την ξεχώριζε, μόνο ο Αχιλλέας μπορούσε.",0.375,0.5,0.125,0.0,"[0.375, 0.5, 0.125, 0.0]",Personne d'autre ne savait la reconnaître. Seul Achille le pouvait.
198,"Σάστισε αυτός, τα πίσω στράφηκε, κι ευτύς αναγνωρίζει",0.0,0.625,0.25,0.125,"[0.0, 0.625, 0.25, 0.125]","Il s'est énervé, il s'est retourné, il a reconnu."
199,την Αθηνά Παλλάδα—κι άστραφταν φριχτά τα δυο της μάτια—,0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]",Athéna Pallada... et ses deux yeux brillaient.
200,και κράζοντας τη με ανεμάρπαστα της συντυχαίνει λόγια:,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]",Et l'acclamer d'un air incorruptible lui fait entendre ce qu'elle dit:
201,"« Τέκνο του Δία του βροντοσκούταρου, γιατί ήρθες τώρα πάλε;",0.125,0.5,0.25,0.125,"[0.125, 0.5, 0.25, 0.125]","L'enfant de Jupiter, pourquoi es-tu là maintenant?"
202,"Για τον υγιό του Ατρέα μην έτρεξες, να δεις την ξιπασιά του;",0.125,0.25,0.5,0.125,"[0.125, 0.25, 0.5, 0.125]","Pour le fils d'Atrea, n'avez-vous pas couru pour voir son arrogance?"
203,"Εγώ ένα λόγο ωστόσο θα 'λεγα, που θα γενεί, λογιάζω:",0.375,0.375,0.25,0.0,"[0.375, 0.375, 0.25, 0.0]","Mais moi, j'ai une raison de le faire."
204,με τ᾿ άπρεπα του αυτά καμώματα θα γοργοθανατίσει.»,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]","Avec ses actes inconvenants, il mourra vite."
205,"Τότε η Αθηνά, η θεά η γλαυκόματη, του απηλογήθη κι είπε:",0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]","Alors Athéna, la déesse glaucome, s'excusa et dit:"
206,"«Ήρθα να πάψω εγώ την όργητα που σε κρατεί, αν μ᾿ ακούσεις,",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]","Je suis venu mettre fin à l'orgueil qui vous retient, si vous m'entendez,"
207,"σταλμένη απ᾿ την κρουσταλλοβράχιονη την Ήρα από τα ουράνια,",0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]","Envoyée par la tyrannie du céleste d'Héra,"
208,που και τους δυο σας ίδια νοιάζεται κι ίδια σας έχει αγάπη.,0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]","Qui se soucie de vous deux, et qui a de l'amour pour vous."
209,"Μον᾿ έλα, σκόλνα τα μαλώματα και το σπαθί μη σέρνεις᾿",0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]","Vas-y, sculpte les cheveux et l'épée, ne traîne pas."
210,"με λόγια ωστόσο, αν θέλεις, βρίσε τον, κι όπου σε βγάλει η γλώσσα!",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]","Mais si tu veux, insulte-le, et où que tu aies la langue."
211,"Κι εγώ ένα λόγο τώρα θα 'λεγα, που σίγουρα θα γένει:",0.25,0.75,0.0,0.0,"[0.25, 0.75, 0.0, 0.0]","Et moi, j'allais dire une bonne raison."
212,τρίδιπλα τόσα δώρα ατίμητα μια μέρα θα σου δώσουν,0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]",Trois fois plus de cadeaux inavouables un jour ils te donneront
213,"γι᾿ αυτό το ντρόπιασμα, μόν᾿ άκου μας και το θυμό σου κράτα.»",0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]","Pour cette honte, écoutez-nous et gardez votre colère."
214,Τότε ο Αχιλλέας ο φτεροπόδαρος απηλογιά της δίνει:,0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]","Alors Achille, le plumard, lui donne:"
215,"«Δεν πρέπει αλήθεια την ορμήνια σας, θεά, να παρακούσω,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]","Je ne dois pas vraiment désobéir à votre pulsion, déesse."
216,κι ας πνίγει η οργή βαθιά τα σπλάχνα μου᾿ το πιο συφέρο αυτό 'ναι.,0.0,0.625,0.375,0.0,"[0.0, 0.625, 0.375, 0.0]","Même si la colère étouffe mes entrailles, c'est la chose la plus intéressante."
217,"Που τους θεούς γρικάει, με προθυμία τον συνακούν κι εκείνοι.»",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]",Les dieux s'en prennent à eux aussi.
218,"Είπε, και το τρανό ξανάσπρωξε σπαθί του στο θηκάρι,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]","Il a dit, et le grand a encore poussé son épée dans son fourreau,"
219,"στη βαριά φούχτα το χερόλαβο κρατώντας το ασημένιο,",0.25,0.5,0.125,0.125,"[0.25, 0.5, 0.125, 0.125]","dans la robe lourde la main en tenant l'argent,"
220,στης Αθηνάς τα λόγια ακούγοντας᾿ κι εκείνη στο παλάτι,0.375,0.5,0.0,0.125,"[0.375, 0.5, 0.0, 0.125]","Athéna a dit des mots en écoutant, elle aussi, au palais."
221,"πετάει και πάει του Δία, στον Όλυμπο, με τους θεούς τους άλλους.",0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]","Il vole et emmène Zeus à l'Olympe, avec les dieux des autres."
222,"Ωστόσο το θυμό δε σκόλαζε τότε ο Αχιλλέας, μόν᾿ πήρε",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]","Cependant, Achille ne s'était pas évanoui à l'époque; il n'a pris qu'Achille."
223,φαρμακεμένα λόγια κι έλεγε στο γιο του Ατρέα γυρνώντας:,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]",Et il disait au fils d'Atrea:
224,"«Μεθύστακα, με μάτια εσύ σκυλιού και με καρδιά αλαφίνας!",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]","Toi, l'ivrogne, avec les yeux d'un chien et le cœur d'un minable!"
225,Πότε η καρδιά σου εσένα βάστηξε ν᾿ αρματωθείς και να 'βγεις,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]",Quand ton coeur t'a-t-il soutenu pour que tu sois charmé et que tu partes?
226,με τα φουσάτα μας στον πόλεμο; Πότε να πας να στήσεις,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]",Quand est-ce que tu vas mettre en place nos jupes à la guerre?
227,καρτέρι με τους πιο αντρειωμένους μας; το τρέμεις σαν το Χάρο!,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]",Tu trembles comme la Mort!
228,"Αλήθεια, πιο καλά στ᾿ απλόχωρα των Αχαιών λημέρια",0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]","C'est vrai, c'est mieux dans le pays des Achaïques."
229,όποιου μιλήσει αντρίκεια αντίκρυ σου ν᾿ αρπάζεις το μοιράδι!,0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]","Si quelqu'un parle homme en face de toi, tu attrapes le destin!"
230,"Χαρά στο λαοφαγά τον άρχοντα, πού ορίζει τιποτένιους!",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]","C'est la joie du peuple, le seigneur, qu'il désigne comme un ignoble."
231,"Αλλιώς, Ατρείδη, λέω δε θα 'σωνες άλλη αδικία να κάνεις.",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]","Sinon, Atreides, je dis que tu ne sauverais plus d'injustices."
232,"Μ᾿ άκου τα λόγια μου, πού απάνω τους όρκο τρανό θα ομώσω:",0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]","Écoute-moi bien, où je vais faire le serment d'un trône:"
233,Μα τούτο το ραβδί—σ᾿ τ᾿ ορκίζομαι—που φύλλα πια και κλωνιά,0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]","Mais cette baguette, je le jure, des feuilles et des clones."
234,"δε θα πετάξει, αφού παράτησε στο λόγγο τον κορμό του,",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]",Il ne volera pas après avoir laissé son torse dans le long.
235,"κι ουδέ θ᾿ ανοίξει πια, τι ολόγυρα του 'χει ο χαλκός θερίσει",0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]","Et il ne s'ouvrira plus, ce que le cuivre a moissonné autour de lui."
236,"φύλλα και φλούδα, και στα χέρια τους οι Αργίτες κρισολόγοι",0.375,0.375,0.25,0.0,"[0.375, 0.375, 0.25, 0.0]","les feuilles et l'écorce, et les angiciens dans leurs mains"
237,"τώρα το σφίγγουν διαφεντεύοντας τη δικαιοσύνη πάντα,",0.25,0.625,0.125,0.0,"[0.25, 0.625, 0.125, 0.0]","Maintenant, ils le serrent en régnant toujours la justice,"
238,ως το 'χει ορίσει ο Δίας—τον άκουσες τον όρκο τον τρανό μου!,0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]",Jupiter l'a fixé. Tu as entendu le serment que j'avais fait.
239,Θα 'ρθεί καιρός αλήθεια που όλοι τους θ᾿ αποζητούν οι Αργίτες,0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]",Il y aura un temps de vérité où tous les Argytes chercheront.
240,"τον Αχιλλέα, και τότε μ᾿ όλο σου δε θα μπορείς τον πόνο",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]","Achille, et après, tu ne pourras plus souffrir."
241,"να τους συντρέξεις, απ᾿ τον Έχτορα καθώς τον αντροφόνο",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]",Tu devrais les éloigner d'Hector comme l'homme.
242,νεκροί θα πέφτουν και θα σκίζεται τότε η καρδιά σου εσένα,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]",Des morts tomberont et ton coeur se déchirera.
243,"απ᾿ τον καημό, που παραψήφησες των Αχαιών τον πρώτο.»",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]",De la tristesse d'avoir défié le premier Achaïe.
244,"Είπε ο Αχιλλέας, και σφεντονίζοντας στο χώμα το ραβδί του,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]","Dit Achille, et en frappant sa baguette dans la terre,"
245,"το πλουμισμένο με χρυσόκαρφα, στη θέση του διαγέρνει.",0.375,0.375,0.125,0.125,"[0.375, 0.375, 0.125, 0.125]","Le richard riche en clous d'or, à sa place, excite."
246,Χώρια κι ο γιος του Ατρέα ξεφρένιαζε. Πετάχτη τότε ομπρός τους,0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]","À part ça, le fils d'Atrea s'est énervé. Jetez-les à l'envers."
247,"ο Νέστορας, ο γλυκομίλητος αγορητής της Πύλος,",0.375,0.625,0.0,0.0,"[0.375, 0.625, 0.0, 0.0]","Nestor, l'orateur de Pyle,"
248,που πιο γλυκά άπ᾿ το μέλι ανάβρυζαν τα λόγια του απ᾿ το στόμα.,0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]","Plus doux que le miel, ses paroles s'enflamment dans la bouche."
249,Δυο είχαν ιδεί τα μάτια του γενιές ως τώρα να πεθαίνουν,0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]",Deux d'entre eux avaient déjà vu ses yeux mourir.
250,"θνητών ανθρώπων, πού γεννήθηκαν και τράνεψαν πιο πρώτα",0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]","des humains mortels, nés et se déplaçaient d'abord"
251,"στην άγια Πύλο, και βασίλευε πια στη γενιά την τρίτη.",0.5,0.375,0.125,0.0,"[0.5, 0.375, 0.125, 0.0]","à Saint-Pétersbourg, et il régnait maintenant sur la génération de la troisième."
252,και τότε μίλησε καλόγνωμος αναμεσό τους κι είπε:,0.25,0.75,0.0,0.0,"[0.25, 0.75, 0.0, 0.0]",Puis il s'est exprimé en toute bonne foi entre eux et a dit:
253,"« Ώχού, τρανό κακό που πλάκωσε των Αχαιών τη χώρα!",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]","Oh, mon Dieu, c'est un terrible mal qui a frappé le pays des Aïeux!"
254,"Ο Πρίαμος πόσο θ᾿ αναγάλλιαζε κι οι γιοι του Πριάμου τώρα,",0.125,0.5,0.25,0.125,"[0.125, 0.5, 0.25, 0.125]",Priam a dû admirer les fils de Priam en ce moment.
255,"πόσο βαθιά κ᾿ οι Τρώες οι επίλοιποι θα χαίρουνταν αλήθεια,",0.125,0.375,0.375,0.125,"[0.125, 0.375, 0.375, 0.125]","À quel point les Troyens et les autres seraient heureux,"
